id,name,sku,cat,uzanti
2333233,AYKA-112,KAPILAR_0000_AYKA-112,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0000_AYKA-112.png
2333234,NORM-184,KAPILAR_0000_NORM-184,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0000_NORM-184.png
2333235,YOF-52,KAPILAR_0000_YOF-52,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0000_YOF-52.png
2333236,AYKA-111,KAPILAR_0001_AYKA-111,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0001_AYKA-111.png
2333237,NORM-183,KAPILAR_0001_NORM-183,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0001_NORM-183.png
2333238,YOF-51,KAPILAR_0001_YOF-51,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0001_YOF-51.png
2333239,AYKA-110,KAPILAR_0002_AYKA-110,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0002_AYKA-110.png
2333240,NORM-182,KAPILAR_0002_NORM-182,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0002_NORM-182.png
2333241,YOF-50,KAPILAR_0002_YOF-50,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0002_YOF-50.png
2333242,AYKA-109,KAPILAR_0003_AYKA-109,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0003_AYKA-109.png
2333243,NORM-181,KAPILAR_0003_NORM-181,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0003_NORM-181.png
2333244,YOF-49,KAPILAR_0003_YOF-49,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0003_YOF-49.png
2333245,AYKA-108,KAPILAR_0004_AYKA-108,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0004_AYKA-108.png
2333246,NORM-180,KAPILAR_0004_NORM-180,NORM,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0004_NORM-180.png
2333247,YOF-48,KAPILAR_0004_YOF-48,YOF,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0004_YOF-48.png
2333248,AYKA-107,KAPILAR_0005_AYKA-107,AYKA,https://www.erenodoor.com/wp-content/uploads/images/KAPILAR_0005_AYKA-107.png
